p,d_a,mu,q,u,demand_supply_ratio,demand_served
1.0,0.01,0.00946286488185095,0.8977837308464137,0.8410650076742417,1.05676242077378,0.008495606138123654
1.0,0.02,0.010257331056451468,0.9954316180008056,1.0108366933394464,1.9498249486079293,0.010210471649893398
1.0,0.03,0.010293044104399058,0.9996322609494839,1.0186366360631853,2.914589668102029,0.010289258950133186
1.0,0.04,0.010295713965972323,0.999944416891094,1.019219028119987,3.885111817616664,0.010295141698181687
1.0,0.05,0.010296084476397113,0.9999875324996873,1.0192996548861077,4.8562150120874295,0.010295956109960685
1.0,0.06,0.01029616116746324,0.9999963699920172,1.019316255439285,5.827414608621822,0.01029612379231601
1.0,0.07,0.010296182231944001,0.9999987295680074,1.0193207459831246,6.79863646768259,0.010296169151344693
1.0,0.08,0.010296189563618106,0.999999490349605,1.0193222472999417,7.769864716038485,0.010296184316161028
1.0,0.09,0.010296192788431231,0.9999997728693913,1.0193228545352189,8.741095067792797,0.010296190449850697
1.0,0.1,0.010296194640141991,0.9999998899606339,1.0193231572083707,9.712326106397397,0.01029619350715526
1.0,0.11,0.010296196349119059,1.0,1.0193234385627867,10.68355694376512,0.010296196349119059
1.0,0.12,0.010296197160361814,1.0,1.0193235188758196,11.654788474911365,0.010296197160361814
1.0,0.13,0.010296197977661669,1.0,1.0193235997885053,12.626019845582245,0.010296197977661669
1.0,0.14,0.010296198801049965,1.0,1.0193236813039466,13.597251054022323,0.010296198801049965
1.0,0.15,0.010296199630557721,1.0,1.0193237634252144,14.568482098464795,0.010296199630557721
1.0,0.16,0.010296200466215523,1.0,1.0193238461553367,15.539712977131815,0.010296200466215523
1.0,0.17,0.010296201308053386,1.0,1.0193239294972853,16.510943688234903,0.010296201308053386
1.0,0.18,0.01029620215610059,1.0,1.0193240134539583,17.48217422997551,0.01029620215610059
1.0,0.19,0.0102962030103855,1.0,1.0193240980281646,18.453404600545674,0.0102962030103855
1.0,0.2,0.010296203870935335,1.0,1.019324183222598,19.424634798128903,0.010296203870935335
