t,p,D,T,S,U,D_bar,Z_bar,gradient_estimate,delta_hat,upsilon_hat,zeta,state_d_a,state_name,experiment_type,n,cumulative_regret,experimentation
1,50.0,5136,6910,4615.4966414272685,138464.89924281804,0.5136,0.691,-0.45395467673937306,0.0014008438433632795,0.0013068009874066002,0.5,0.5,Medium ($d_a = 0.5$),local,10000,707.4101633617341,Local
2,45.46045323260627,3150,5571,3001.49668116464,103670.33499126311,0.315,0.5571,-0.28939804544207476,0.005321627544959211,0.0038853097175029897,0.5,0.3,Low ($d_a = 0.3$),local,10000,1193.9494959740657,Local
3,43.5311329296591,2928,5432,2808.623978689799,102427.33452941025,0.2928,0.5432,-0.2587350391837857,0.02411010116320227,0.008995953320352936,0.5,0.3,Low ($d_a = 0.3$),local,10000,1599.0986131424143,Local
4,42.23745773374017,6838,7045,5550.731618873364,209609.7373663703,0.6838,0.7045,-0.46952574239064043,0.0074180652431299334,0.006019631530402116,0.5,0.7,High ($d_a = 0.7$),local,10000,1953.8423187513192,Local
5,40.35935476417761,2774,5311,2671.3897900728316,105895.61495487517,0.2774,0.5311,-0.26152591941270675,0.002799068662463079,0.00235749336403857,0.5,0.3,Low ($d_a = 0.3$),local,10000,2241.3665043391534,Local
6,39.487601699468584,5090,6147,4416.228640810262,178912.01368271981,0.509,0.6147,-0.318040665465053,0.022612055717469843,0.01173448657356031,0.5,0.5,Medium ($d_a = 0.5$),local,10000,2500.086815157437,Local
7,38.578914083854144,2666,5259,2576.1792818998133,106708.1433709671,0.2666,0.5259,-0.2619619391351311,-0.0017315909259642895,-0.0019524014122292593,0.5,0.3,Low ($d_a = 0.3$),local,10000,2730.400749168668,Local
8,37.92400923601632,5096,6149,4420.069184128483,185978.790167559,0.5096,0.6149,-0.33253619080883495,0.016443568917580316,0.009986421288635748,0.5,0.5,Medium ($d_a = 0.5$),local,10000,2941.26578394849,Local
9,37.185039923107794,3014,5139,2855.5412122026937,122259.88299837873,0.3014,0.5139,-0.2646646009981945,0.00792247337908461,0.005355653855775065,0.5,0.3,Low ($d_a = 0.3$),local,10000,3131.2154629243623,Local
10,36.655710721111404,5119,6086,4415.924365146162,191405.10311658774,0.5119,0.6086,-0.460161100005434,-0.001494250910225384,-0.0015836389467084524,0.5,0.5,Medium ($d_a = 0.5$),local,10000,3306.8546647864946,Local
